time,playID,playQuality,buffer_size
0.6,0,1,0
4.6,1,0,8
8.6,2,1,16
12.6,3,1,20
16.6,4,3,24
20.6,5,3,28
24.6,6,3,28
28.6,7,1,28
32.6,8,3,28
36.6,9,1,28
40.6,10,2,28
44.6,11,3,28
48.6,12,0,28
52.6,13,0,28
56.6,14,6,28
60.6,15,0,28
64.6,16,0,28
68.6,17,0,24
72.6,18,0,28
76.6,19,0,28
80.6,20,0,28
84.6,21,1,28
88.6,22,3,28
92.6,23,6,28
96.6,24,6,24
100.6,25,3,28
104.6,26,3,28
108.6,27,3,28
112.6,28,2,28
116.6,29,3,28
120.6,30,3,28
124.6,31,3,28
128.6,32,3,28
132.6,33,3,28
136.6,34,1,28
140.6,35,1,24
144.6,36,3,24
148.6,37,3,28
152.6,38,3,28
156.6,39,6,28
160.6,40,3,28
164.6,41,3,24
168.6,42,3,24
172.6,43,3,28
176.6,44,2,28
180.6,45,0,28
184.6,46,0,28
188.6,47,2,28
192.6,48,1,28
196.6,49,3,24
200.6,50,3,28
204.6,51,0,28
208.6,52,0,28
212.6,53,1,24
216.6,54,1,20
220.6,55,3,16
224.6,56,3,12
228.6,57,3,8
232.6,58,3,4
236.6,59,3,0
