time,playID,playQuality,buffer_size
0.6,0,1,0
4.6,1,0,8
8.6,2,0,20
12.6,3,1,28
16.6,4,0,28
20.6,5,4,28
24.6,6,0,24
28.6,7,3,28
32.6,8,0,28
36.6,9,3,28
40.6,10,0,28
44.6,11,0,24
48.6,12,0,28
52.6,13,3,28
56.6,14,1,28
60.6,15,3,28
64.6,16,2,28
68.6,17,3,28
72.6,18,3,28
76.6,19,2,28
80.6,20,1,28
84.6,21,6,28
88.6,22,3,24
92.6,23,6,24
96.6,24,6,28
100.6,25,3,28
104.6,26,3,24
108.6,27,6,24
112.6,28,3,24
116.6,29,3,28
120.6,30,3,24
124.6,31,3,28
128.6,32,3,28
132.6,33,3,28
136.6,34,1,24
140.6,35,3,24
144.6,36,1,28
148.6,37,3,24
152.6,38,0,28
156.6,39,3,28
160.6,40,1,28
164.6,41,3,28
168.6,42,3,28
172.6,43,3,28
176.6,44,2,28
180.6,45,0,28
184.6,46,0,24
188.6,47,2,28
192.6,48,1,28
196.6,49,3,28
200.6,50,2,28
204.6,51,3,28
208.6,52,3,28
212.6,53,5,24
216.6,54,1,20
220.6,55,3,16
224.6,56,2,12
228.6,57,1,8
232.6,58,3,4
236.6,59,3,0
