time,playID,playQuality,buffer_size
0.5,0,1,0
4.5,1,0,4
8.5,2,2,4
12.5,3,3,12
16.5,4,2,12
20.5,5,4,8
24.5,6,5,12
28.5,7,3,8
32.5,8,6,12
36.5,9,3,16
40.5,10,3,12
44.5,11,3,16
48.5,12,3,12
52.5,13,6,12
56.5,14,3,12
60.5,15,6,8
64.5,16,6,4
68.5,17,6,4
72.5,18,6,8
76.5,19,6,12
80.5,20,6,16
84.5,21,6,20
88.5,22,6,20
92.5,23,6,20
96.5,24,6,16
100.5,25,6,16
104.5,26,6,16
108.5,27,6,16
112.5,28,6,16
116.5,29,6,12
120.5,30,6,12
124.5,31,6,12
128.5,32,6,12
132.5,33,6,12
136.5,34,6,12
140.5,35,6,16
144.5,36,6,12
148.5,37,6,12
152.5,38,6,12
156.5,39,6,12
160.5,40,6,16
164.5,41,6,12
168.5,42,6,8
172.5,43,6,16
176.5,44,6,16
180.5,45,6,16
184.5,46,6,12
188.5,47,6,12
192.5,48,6,16
196.5,49,6,16
200.5,50,6,16
204.5,51,6,12
208.5,52,6,16
212.5,53,6,16
216.5,54,6,12
220.5,55,6,12
224.5,56,6,8
228.5,57,6,4
232.5,58,3,0
236.5,59,6,0
